TMDb_ID,IMDb_ID,Title,Year,Genre,Primary Genre,TMDb Rating,TMDb Votes,Popularity,Revenue,Budget,Runtime,IMDb Rating,IMDb Votes,Box Office,Wikipedia Page Found,Wikipedia URL,Awards Text,has_awards
1339713,tt37287335,Obsession,2026,"Horror, Thriller",Horror,7.917,841,581.7554,297445815.0,750000.0,108,8.2,50183.0,104757650.0,,,,
931285,tt17490712,Mortal Kombat II,2026,"Action, Fantasy, Adventure",Action,7.988,1449,519.4298,128857238.0,80000000.0,116,6.7,36627.0,77767462.0,,,,
936075,tt11378946,Michael,2026,"Music, Drama",Music,8.653,2635,503.091,934009960.0,250000000.0,128,7.7,107813.0,340068767.0,,,,
1367220,tt33988385,Karuppu,2026,"Action, Fantasy",Action,7.059,17,384.3573,3345079.0,16000000.0,152,,,,,,,
879945,tt16288638,The Unknown Man,2021,Drama,Drama,7.8,9,325.1904,,,23,7.0,53.0,,True,https://en.wikipedia.org/wiki/The_Unknown_Man,"The Unknown Man - Wikipedia Jump to content Main menu Main menu move to sidebar hide Navigation Main page Contents Current events Random article About Wikipedia Contact us Contribute Help Learn to edit Community portal Recent changes Upload file Special pages Print/export Download as PDF Printable version In other projects Wikidata item Search Search Appearance Donate Create account Log in Personal tools Donate Create account Log in Contents move to sidebar hide (Top) 1 Plot 2 Cast 3 Production 4 Reception Toggle Reception subsection 4.1 Critical response 5 Comic book adaptation 6 References 7 External links Toggle the table of contents The Unknown Man 6 languages Cymraeg Deutsch Français Italiano Português Русский Edit links Article Talk English Read Edit View history Tools Tools move to sidebar hide Actions Read Edit View history General What links here Related changes Upload file Permanent link Page information Cite this page Get shortened URL Print/export Download as PDF Printable version In other projects Wikidata item Appearance move to sidebar hide From Wikipedia, the free encyclopedia 1951 film by Richard Thorpe The Unknown Man Theatrical release poster Directed by Richard Thorpe Screenplay by George Froeschel Ronald Millar Story by George Froeschel Ronald Millar Produced by Robert Thomsen Starring Walter Pidgeon Ann Harding Barry Sullivan Narrated by Barry Sullivan Cinematography William C. Mellor Edited by Ben Lewis Music by Conrad Salinger Distributed by Metro-Goldwyn-Mayer Release date November 16, 1951 ( 1951-11-16 ) (United States) Running time 86 minutes Country United States Language English Budget $618,000 [ 1 ] Box office $711,000 [ 1 ] The Unknown Man is a 1951 American courtroom drama film directed by Richard Thorpe and starring Walter Pidgeon , Ann Harding and Barry Sullivan . [ 2 ] Plot [ edit ] Defense attorney Dwight Bradley Masen ( Walter Pidgeon ) is successful in seeking the acquittal of a young man, Rudi Walchek ( Keefe Brasselle ), accused of knifing to death the 19-year-old son of a local locksmith, but when Rudi lets a comment slip after the trial, Masen realizes he has defended a guilty man. Masen discovers that Rudi is also a member of a syndicate extorting money from the scared merchants in the locksmith's neighborhood. After unearthing new evidence, Masen tries to convince the D.A. ( Barry Sullivan ) to retry the case, but the latter refuses on grounds of double jeopardy . Masen discovers that the head of the citizens' crime commission is also involved in the syndicate. In a rage Masen kills Layford ( Eduard Franz ), but the murder is pinned on Rudi. Despite sensing a higher justice at work, Masen feels obliged to defend Rudi once again. This time Rudi is found guilty. Masen confesses to the D.A. that he is the culprit, but the D.A. feels justice has been served and refuses to reopen the case. Masen makes one final visit to Rudi in prison, confesses, gives him the murder weapon and turns his back to Rudi to awai",True
1057265,tt23865918,Peddi,2026,"Action, Drama",Action,6.456,45,324.8609,,36500000.0,192,,,,,,,
1239134,tt29540862,Bhooth Bangla,2026,"Horror, Comedy",Horror,5.238,21,362.8242,20000000.0,14000000.0,163,7.5,9969.0,950000.0,,,,
1308553,tt30447822,Hai Jawani Toh Ishq Hona Hai,2026,"Romance, Comedy",Romance,5.474,19,252.0855,,,136,,,,,,,
1275779,tt15047880,Disclosure Day,2026,"Thriller, Science Fiction, Mystery",Thriller,6.738,503,286.9304,120479637.0,115000000.0,145,,,,,,,
1523145,tt38190257,Your Heart Will Be Broken,2026,Romance,Romance,7.0,96,276.5688,7578000.0,3716000.0,134,,,,,,,
1228710,tt30825738,The Mandalorian and Grogu,2026,"Action, Adventure, Science Fiction",Action,6.757,484,224.6004,315100000.0,165000000.0,132,,,,,,,
1226293,tt31240702,Salitan,2024,"Drama, Romance",Drama,4.375,8,336.4305,,,105,5.9,115.0,,,,,
1226863,tt28650488,The Super Mario Galaxy Movie,2026,"Family, Comedy, Adventure, Fantasy, Animation",Family,8.2,2670,227.3499,1000843925.0,110000000.0,98,6.3,55972.0,427096185.0,,,,
1084244,tt29355505,Toy Story 5,2026,"Animation, Family, Comedy, Adventure",Animation,7.3,80,208.1732,,250000000.0,102,,,,,,,
1103473,tt15295368,KD – The Devil,2026,"History, Crime, Action, Fantasy",History,7.5,2,205.0936,,,141,8.6,1922.0,,,,,
1477317,tt36958376,Your Fault: London,2026,"Romance, Drama",Romance,7.755,55,195.2676,,,123,,,,,,,
912378,tt35518410,Dridam,2026,"Crime, Thriller",Crime,7.0,1,177.7171,77048.0,,127,7.5,1103.0,,,,,
1280738,tt33311069,The Furious,2026,"Action, Crime",Action,7.965,43,173.3095,1400000.0,20000000.0,113,7.7,991.0,,,,,
1007757,tt29552248,Swapped,2026,"Adventure, Animation, Family, Fantasy",Adventure,8.969,1713,156.5555,,,102,7.3,14061.0,,,,,
1304313,tt32612507,Lee Cronin's The Mummy,2026,"Horror, Mystery",Horror,8.036,1873,159.5124,90452113.0,22000000.0,133,6.2,33540.0,29152113.0,,,,
454639,tt0427340,Masters of the Universe,2026,"Action, Fantasy, Science Fiction",Action,7.3,242,133.2322,86387310.0,200000000.0,141,,,,,,,
687163,tt12042730,Project Hail Mary,2026,"Science Fiction, Adventure",Science Fiction,8.687,5189,138.0221,681404846.0,200000000.0,157,8.3,333549.0,341307287.0,,,,
1122573,tt27681354,In the Grey,2026,"Action, Thriller",Action,6.6,240,138.1508,22726621.0,70000000.0,97,6.6,6178.0,5688954.0,,,,
1293550,tt32389930,Bandar,2026,Thriller,Thriller,7.0,1,127.9698,,,140,7.8,83.0,,,,,
1439930,tt36042156,The Punisher: One Last Kill,2026,"Action, Drama, Crime",Action,8.346,1632,132.5083,,,51,,,,,,,
1582770,tt39139925,Dhurandhar: The Revenge,2026,"Action, Crime, Thriller",Action,7.3,119,128.842,152900759.0,14330000.0,229,8.5,45701.0,27415192.0,,,,
976912,tt13452544,Graphic Desires,2023,"Thriller, Crime",Thriller,6.935,92,137.9446,,,90,4.2,536.0,,False,,,False
1358005,tt33397980,Office Romance,2026,"Romance, Comedy",Romance,6.535,213,107.6441,,,115,,,,,,,
1327819,tt26443616,Hoppers,2026,"Adventure, Animation, Comedy, Family, Science Fiction",Adventure,8.182,1632,112.2734,372010783.0,150000000.0,104,7.4,37622.0,164415529.0,,,,
1083381,tt26657236,Backrooms,2026,"Horror, Mystery, Science Fiction",Horror,6.9,609,124.9342,262595784.0,10000000.0,111,7.1,22376.0,81456295.0,,,,
1419406,tt34610311,The Shadow's Edge,2025,"Action, Crime, Drama, Thriller",Action,7.76,865,106.3376,174400000.0,,142,7.1,8806.0,,,,,
1380291,tt34378301,Tom Clancy's Jack Ryan: Ghost War,2026,"Action, Thriller",Action,7.1,577,112.6535,,,107,,,,,,,
